,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
40,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Mamba Out,spotify:track:6DUGTx8UYYukrZmkDHh14F,126000,False,4 Dilla Vol. 1-4,42
41,Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,DIET_,spotify:track:1AzqpMy3yLYNITSOUrnL8i,143733,True,UNLOCKED,63
42,JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Workin’ Out - A Colors Show,spotify:track:70QT8Tr8gnAEkeLW3WwN3C,181417,True,Workin’ Out - A Colors Show,58
43,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,Who Gon Stop Me,spotify:track:3R1k8P1MrDdLSRhlTaaWAS,256706,True,Watch The Throne (Deluxe),58
44,KIDS SEE GHOSTS,spotify:artist:2hPgGN4uhvXAxiXQBIXOmE,Feel The Love,spotify:track:3aUFrxO1B8EW63QchEl3wX,165053,True,KIDS SEE GHOSTS,66
45,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Baby Pluto,spotify:track:0MBbqhCETOfzONwgSAtKpI,210261,True,Eternal Atake (Deluxe) - LUV vs. The World 2,64
46,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Prices,spotify:track:1Gz96Ab9xAEcaUTwaFx0ON,233333,True,Eternal Atake (Deluxe) - LUV vs. The World 2,64
47,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,200040,False,After Hours,99
48,Cookin Soul,spotify:artist:06s35sbFfZJUEwFjAaZfiW,Couldu,spotify:track:38FqCNGE8VxtJLkzZugbZT,118441,False,4 Dilla Vol. 1-4,27
49,Meek Mill,spotify:artist:20sxb77xiYeusSH8cVdatc,Shine,spotify:track:3g7XdOnYbeoinTCcLsElSa,327491,True,DC4,44
