,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Rico Nasty,spotify:artist:2OaHYHb2XcFPvqL3VsyPzU,Time Flies,spotify:track:2QXB9GugNcZqXrDXYowISU,185806,True,Time Flies,52
1,SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,Roses - Imanbek Remix,spotify:track:7fPuWrlpwDcHm5aHCH5D9t,176218,True,Roses (Imanbek Remix),85
2,WILLOW,spotify:artist:3rWZHrfrsPBxVy692yAIxF,Wait a Minute!,spotify:track:0y60itmpH0aPKsFiGxmtnh,196520,False,ARDIPITHECUS,83
3,BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,SUGAR,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,204533,True,GINGER,83
4,SoySauce,spotify:artist:54Vv2rSUtn5oPa6cPZau0i,Broken Record (feat. Joni Fatora),spotify:track:3HBj2yLbgrJv1VWbMpU5sc,186639,False,Lunch Money - EP,27
5,Xavier Weeks,spotify:artist:1I87BJvTcv6gia06HaBl9e,Team,spotify:track:1ooO1j7bseZCHaCFxVpoMq,150881,True,Team,71
6,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Lean On,spotify:track:1Lim1Py7xBgbAkAys3AGAG,176561,False,Peace Is The Mission (Extended),72
7,Jhen̩ Aiko,spotify:artist:5ZS223C6JyBfXasXxrRqOk,Bed Peace,spotify:track:3iIrtgucy1S2IMtozeYARI,256079,False,Sail Out,33
8,BENEE,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,Supalonely,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,223480,True,STELLA & STEVE,93
9,Likybo,spotify:artist:16Nc36xAtNyQ7BMBcDsaLv,Kraazy,spotify:track:3s2Qd1rsWqbvOoxpFTRp8D,151578,True,Million Dollar Mindset,72
10,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Without Me,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,290320,True,The Eminem Show,82
11,R3HAB,spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ,Freak - Joe Stone 2K18 Edit,spotify:track:2xbRwcylUnX881qaqf5ZZJ,177142,False,Freak (Joe Stone 2K18 Edit),67
12,MASN,spotify:artist:4HAfqyKr4Sqtab6ttHWXgE,Psycho!,spotify:track:4sSu9BtWSCWRNjGD2AvqbG,197217,True,Psycho!,42
13,10k.Caash,spotify:artist:4uyIwcaJgV9ShErevnVlNp,SwajjurKicks (feat. Lil Yachty),spotify:track:65mFuYYe8FBwBelMCGfhOV,102906,True,SwajjurKicks,56
14,Trill Ryan,spotify:artist:0Br4l2km0ic7BSsNh1E5h4,She Gon Go,spotify:track:7FknBUKLWwjWszRK1N0jqe,121009,True,She Gon Go,70
15,Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Break My Heart,spotify:track:1raaNykBg1bDnWENUiglUA,221820,False,Break My Heart,88
16,Tove Lo,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,Habits (Stay High) - Hippie Sabotage Remix,spotify:track:62N2JSA0jHmSH7Va9t7hIf,258933,False,Queen Of The Clouds,66
17,Zack Fox,spotify:artist:1UH80jhsYsFztK0anu2FNS,Jesus Is The One (I Got Depression),spotify:track:1YR9iNGXtsbrd8deR9ULDD,112800,True,Jesus Is The One (I Got Depression),62
18,TV Girl,spotify:artist:0Y6dVaC9DZtPNH4591M42W,Lovers Rock,spotify:track:1H7zdcRD0gLGQY0w5ejGgX,213920,False,French Exit,66
19,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Chanel,spotify:track:6Nle9hKrkL1wQpwNfEkxjh,210285,True,Chanel,80
20,ODESZA,spotify:artist:21mKp7DqtSNHhCAU2ugvUw,Sun Models (feat. Madelyn Grant),spotify:track:7jZHUhAmW5oq1cq6s8IxmK,160000,False,In Return,66
21,Polo G,spotify:artist:6AgTAQt8XS6jRWi4sX7w49,Go Stupid (feat. Mike WiLL Made-It),spotify:track:74fV8TuLZKVzSIOOGu8wwI,165726,True,Go Stupid (feat. Mike WiLL Made-It),72
22,Roddy Ricch,spotify:artist:757aE44tKEUQEqRuT6GnEB,The Box,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,196652,True,Please Excuse Me For Being Antisocial,93
23,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,The Less I Know The Better,spotify:track:6K4t31amVTZDgR3sKmwUJJ,216320,True,Currents,85
24,Miguel,spotify:artist:360IAlyVv4PCEVjgyMZrxK,waves - Tame Impala Remix,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,253346,False,Rogue Waves,67
25,StaySolidRocky,spotify:artist:1XLWox9w1Yvbodui0SRhUQ,Party Girl,spotify:track:5RqR4ZCCKJDcBLIn4sih9l,147800,False,Party Girl,94
26,ODESZA,spotify:artist:21mKp7DqtSNHhCAU2ugvUw,Say My Name (feat. Zyra),spotify:track:1LeItUMezKA1HdCHxYICed,262956,False,In Return,66
27,Gunna,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,DOLLAZ ON MY HEAD (feat. Young Thug),spotify:track:3nS9a01VvXHQriLqJYwRqG,197760,True,WUNNA,85
28,Aitch,spotify:artist:2PJEagPIxaBugeMjIyKVXF,Rain,spotify:track:4cB4ugFuITeyiK6k4jzqFi,183065,True,Rain,60
29,Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK,Drip Too Hard (Lil Baby & Gunna),spotify:track:78QR3Wp35dqAhFEc2qAGjE,145542,True,Drip Harder,82
30,KYLE,spotify:artist:4qBgvVog0wzW75IQ48mU7v,Hey Julie! (feat. Lil Yachty),spotify:track:1jkEorRvoRQNo1WZfD1X5q,156442,True,Hey Julie! (feat. Lil Yachty),62
31,Hippie Sabotage,spotify:artist:4dM6NDYSfLcspt8GLoT5aE,Your Soul,spotify:track:6ZT3coOj97F6CVvruPtnox,324806,False,The Sunny Album (Deluxe Edition),65
