,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
32,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,In My Feelings,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,217925,True,Scorpion,81
33,Opia,spotify:artist:70zHrrrPfBkVV44AEhFyyh,Falling (Whethan Redo),spotify:track:4DWAQLUA3lF3Ozcqni5UY9,189677,False,Falling (Whethan Redo),52
34,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,Often,spotify:track:4PhsKqMdgMEUSstTDAmMpg,249040,True,Beauty Behind The Madness,76
35,Armin van Buuren,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,Great Spirit,spotify:track:6FzjJPwf5JzzFOei7h6Qrp,215773,False,The Best Of Armin Only,63
36,Diplo,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,Color Blind,spotify:track:7thTA3hqO2MgOlzo0rPInX,177480,False,Color Blind,66
37,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Saint Pablo,spotify:track:1o0kWPueYo94LIjPYOE5Nf,372113,True,The Life Of Pablo,64
38,ZAYN,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",spotify:track:6kQzmbSkHGexuwD9D3zNom,202412,False,Dusk Till Dawn (The Remixes) (feat. Sia),50
39,Party Pupils,spotify:artist:4F61H4lx1js4wtWfb2Rfnt,Ms. Jackson,spotify:track:0uIbS3hBnqjJ9cVG0XmMHr,182439,False,Ms. Jackson,51
40,Famous Dex,spotify:artist:0WOxhx4hikIsyF3CRPLC8W,JAPAN,spotify:track:5PTG6rrL6EPFD9E2QMI2pl,142000,True,Dex Meets Dexter,73
41,Hermitude,spotify:artist:3fmMaLC5jjf2N4EC2kTx0u,HyperParadise - Flume Remix,spotify:track:1LQiF6aZfnNgxerxWJRbxw,268306,False,Parallel Paradise,59
42,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Sleepless,spotify:track:0XzyXP0E9jsoOwu5Rd7hTV,209376,False,Flume: Deluxe Edition,56
43,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Toosie Slide,spotify:track:127QTOFJsJQp5LbJbu3A1y,247058,True,Toosie Slide,93
44,Snakehips,spotify:artist:2FwJwEswyIUAljqgjNSHgP,DÃ©jÃ  Vu (feat. Chaz French),spotify:track:4jIb022gI284OzhbG16Q5L,206164,True,STAY HOME TAPES (= --__-- =),34
45,Felix Snow,spotify:artist:1qskAseW7apRxJBpYAO9Yk,Cherry on Top (feat. Marc E. Bassy & TYSM),spotify:track:0Cm3Xy7wF0HogyeVRJ1DZs,157200,True,Cherry On Top (feat. Marc E. Bassy & TYSM),39
46,Styx,spotify:artist:4salDzkGmfycRqNUbyBphh,Come Sail Away,spotify:track:0PsbWiVtix5FoTZ1s00mEl,367000,False,The Grand Illusion,66
47,Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,Too Many,spotify:track:5dM52n0cmm1Kt8abAP1l9Z,161071,True,Too Many,56
48,Donnie Trumpet & The Social Experiment,spotify:artist:0ojcq9LJQWMawQdFDw3M0L,Sunday Candy,spotify:track:6fTdcGsjxlAD9PSkoPaLMX,226013,False,Surf,67
49,Whethan,spotify:artist:0vqJkZ0RpLZixt3lTmD8vP,Good Nights (feat. Mascolo),spotify:track:08Kj0lvbsqAxzeUOBYZRL6,165618,False,"Life of a Wallflower, Vol. 1",67
